CIE 1931 2 Degree Observer(D50) and sRGB(D65/Gamma encoded)

Wave Length	Tristimulus X	Tristimulus Y	Tristimulus Z	Normalized x	Normalized y	Normalized z	Relative X	Relative Y	Relative Z	Red	Green	Blue	Red-Integer	Green-Integer	Blue-Integer	
725	0.00204919	7.4E-4	0.0	0.73469	0.26531	0.0	2.76917568	1.0	0.0	1.0	0.0	0.0	255	0	0	
730	0.00143997	5.2E-4	0.0	0.73468995	0.26531005	0.0	2.769175	1.0	0.0	1.0	0.0	0.0	255	0	0	
735	9.9995E-4	3.611E-4	0.0	0.73468999	0.26531001	0.0	2.76917557	1.0	0.0	1.0	0.0	0.0	255	0	0	
740	6.9008E-4	2.492E-4	0.0	0.73469001	0.26530999	0.0	2.76917576	1.0	0.0	1.0	0.0	0.0	255	0	0	
745	4.7602E-4	1.719E-4	0.0	0.73469	0.26531	0.0	2.76917568	1.0	0.0	1.0	0.0	0.0	255	0	0	
750	3.323E-4	1.2E-4	0.0	0.73469001	0.26530999	0.0	2.76917583	1.0	0.0	1.0	0.0	0.0	255	0	0	
755	2.3483E-4	8.48E-5	0.0	0.73469	0.26531	0.0	2.76917571	1.0	0.0	1.0	0.0	0.0	255	0	0	
760	1.6615E-4	6.0E-5	0.0	0.73468995	0.26531005	0.0	2.769175	1.0	0.0	1.0	0.0	0.0	255	0	0	
765	1.1741E-4	4.24E-5	0.0	0.73468992	0.26531008	0.0	2.76917453	1.0	0.0	1.0	0.0	0.0	255	0	0	
770	8.308E-5	3.0E-5	0.0	0.73469	0.26531	0.0	2.76917567	1.0	0.0	1.0	0.0	0.0	255	0	0	
775	5.871E-5	2.12E-5	0.0	0.73468999	0.26531001	0.0	2.76917547	1.0	0.0	1.0	0.0	0.0	255	0	0	
780	4.151E-5	1.499E-5	0.0	0.73468998	0.26531002	0.0	2.76917545	1.0	0.0	1.0	0.0	0.0	255	0	0	
785	2.935E-5	1.06E-5	0.0	0.73468999	0.26531001	0.0	2.76917547	1.0	0.0	1.0	0.0	0.0	255	0	0	
790	2.067E-5	7.47E-6	0.0	0.73468995	0.26531005	0.0	2.76917503	1.0	0.0	1.0	0.0	0.0	255	0	0	
795	1.456E-5	5.26E-6	0.0	0.73468997	0.26531003	0.0	2.76917532	1.0	0.0	1.0	0.0	0.0	255	0	0	
800	1.025E-5	3.7E-6	0.0	0.73469037	0.26530963	0.0	2.76918091	1.0	0.0	1.0	0.0	0.0	255	0	0	
805	7.22E-6	2.61E-6	0.0	0.73468999	0.26531001	0.0	2.76917555	1.0	0.0	1.0	0.0	0.0	255	0	0	
810	5.09E-6	1.84E-6	0.0	0.73469	0.26531	0.0	2.76917565	1.0	0.0	1.0	0.0	0.0	255	0	0	
815	3.58E-6	1.29E-6	0.0	0.73469001	0.26530999	0.0	2.76917582	1.0	0.0	1.0	0.0	0.0	255	0	0	
820	2.52E-6	9.1E-7	0.0	0.73468998	0.26531002	0.0	2.76917546	1.0	0.0	1.0	0.0	0.0	255	0	0	
825	1.78E-6	6.4E-7	0.0	0.73468997	0.26531003	0.0	2.76917525	1.0	0.0	1.0	0.0	0.0	255	0	0	
830	1.25E-6	4.5E-7	0.0	0.73468996	0.26531004	0.0	2.7691751	1.0	0.0	1.0	0.0	0.0	255	0	0	
