色彩空间	光源	适应算法	基色	归一化值x	归一化值y	归一化值z	相对值X	相对值Y	相对值Z	刺激值X	刺激值Y	刺激值Z
CIE RGB	F8 - CIE1931	Bradford	红色	0.73739066	0.26453303	-0.00192369	2.78751827	1.0	-0.00727201	0.48699042	0.17470394	-0.00127045	
CIE RGB	F8 - CIE1931	Bradford	绿色	0.26685173	0.718304	0.01484426	0.3715025	1.0	0.02066571	0.3064174	0.82480575	0.0170452	
CIE RGB	F8 - CIE1931	Bradford	蓝色	0.17442577	5.0114E-4	0.82507309	348.05998518	1.0	1646.40194432	0.17071947	4.9049E-4	0.80754144	
CIE RGB	F8 - CIE1964	Bradford	红色	0.73691159	0.26514626	-0.00205785	2.77926454	1.0	-0.00776118	0.49085126	0.17661192	-0.00137072	
CIE RGB	F8 - CIE1964	Bradford	绿色	0.27042225	0.71470252	0.01487523	0.37837036	1.0	0.02081317	0.31145351	0.82314458	0.01713225	
CIE RGB	F8 - CIE1964	Bradford	蓝色	0.17502869	2.5263E-4	0.82471868	692.81686448	1.0	3264.48768647	0.1688427	2.437E-4	0.79557087	
CIE RGB	F8 - CIE1931	XYZScaling	红色	0.7278233	0.2721767	0.0	2.67408376	1.0	0.0	0.47118425	0.176204	0.0	
CIE RGB	F8 - CIE1931	XYZScaling	绿色	0.26722201	0.72528264	0.00749535	0.36843845	1.0	0.01033439	0.29953493	0.812985	0.0084017	
CIE RGB	F8 - CIE1931	XYZScaling	蓝色	0.18977654	0.01060804	0.79961543	17.88988308	1.0	75.3782667	0.19340753	0.010811	0.81491444	
CIE RGB	F8 - CIE1964	XYZScaling	红色	0.7292581	0.2707419	0.0	2.69355464	1.0	0.0	0.4746151	0.176204	0.0	
CIE RGB	F8 - CIE1964	XYZScaling	绿色	0.26867429	0.723953	0.00737271	0.37112117	1.0	0.01018397	0.30171595	0.812985	0.00827941	
CIE RGB	F8 - CIE1964	XYZScaling	蓝色	0.19313939	0.01071797	0.79614264	18.02014525	1.0	74.2810973	0.19481579	0.010811	0.80305294	
CIE RGB	F8 - CIE1931	VonKries	红色	0.73498673	0.26501327	0.0	2.77339594	1.0	0.0	0.48866601	0.17619771	0.0	
CIE RGB	F8 - CIE1931	VonKries	绿色	0.2741094	0.71846575	0.00742486	0.38152048	1.0	0.01033432	0.31017239	0.81299014	0.0084017	
CIE RGB	F8 - CIE1931	VonKries	蓝色	0.16678752	0.01091015	0.82230233	15.28737235	1.0	75.37039945	0.16528903	0.01081213	0.81491442	
CIE RGB	F8 - CIE1964	VonKries	红色	0.73562484	0.26437516	0.0	2.78250365	1.0	0.0	0.49108959	0.17649199	0.0	
CIE RGB	F8 - CIE1964	VonKries	绿色	0.27861345	0.71411153	0.00727502	0.39015397	1.0	0.01018751	0.31707909	0.81270246	0.00827941	
CIE RGB	F8 - CIE1964	VonKries	蓝色	0.16684345	0.01106175	0.8220948	15.08291536	1.0	74.31868983	0.16297891	0.01080553	0.80305293	
CIE RGB	F9 - CIE1931	Bradford	红色	0.73480618	0.26863994	-0.00344612	2.7352827	1.0	-0.01282803	0.51456622	0.18812177	-0.00241323	
CIE RGB	F9 - CIE1931	Bradford	绿色	0.29005644	0.69305431	0.01688925	0.41851907	1.0	0.0243693	0.34173513	0.8165342	0.01989837	
CIE RGB	F9 - CIE1931	Bradford	蓝色	0.18329746	-0.00579131	0.82249385	-31.65045793	1.0	-142.02219498	0.14734912	-0.00465551	0.6611862	
CIE RGB	F9 - CIE1964	Bradford	红色	0.73373452	0.26969901	-0.00343353	2.72056812	1.0	-0.01273097	0.52196912	0.19186034	-0.00244257	
CIE RGB	F9 - CIE1964	Bradford	绿色	0.2972874	0.68646923	0.01624337	0.43306734	1.0	0.0236622	0.35164064	0.81197681	0.01921316	
CIE RGB	F9 - CIE1964	Bradford	蓝色	0.18325577	-0.00476489	0.82150912	-38.45960782	1.0	-172.40885931	0.14755627	-0.00383666	0.66147341	
CIE RGB	F9 - CIE1931	XYZScaling	红色	0.73570863	0.26429137	0.0	2.78370286	1.0	0.0	0.49049958	0.176204	0.0	
CIE RGB	F9 - CIE1931	XYZScaling	绿色	0.27552096	0.71835949	0.00611955	0.3835419	1.0	0.00851878	0.31181381	0.812985	0.00692564	
CIE RGB	F9 - CIE1931	XYZScaling	蓝色	0.22778325	0.01223113	0.75998563	18.62324568	1.0	62.13538188	0.20133591	0.010811	0.67174561	
CIE RGB	F9 - CIE1964	XYZScaling	红色	0.73905897	0.26094103	0.0	2.83228353	1.0	0.0	0.49905969	0.176204	0.0	
CIE RGB	F9 - CIE1964	XYZScaling	绿色	0.27898891	0.71492464	0.00608645	0.3902354	1.0	0.00851342	0.31725553	0.812985	0.00692128	
CIE RGB	F9 - CIE1964	XYZScaling	蓝色	0.23095091	0.01218851	0.75686058	18.94825513	1.0	62.096258	0.20484959	0.010811	0.67132265	
CIE RGB	F9 - CIE1931	VonKries	红色	0.73951683	0.26048317	0.0	2.8390196	1.0	0.0	0.50631134	0.17834021	0.0	
CIE RGB	F9 - CIE1931	VonKries	绿色	0.30584952	0.68827213	0.00587835	0.44437295	1.0	0.00854074	0.36033997	0.81089537	0.00692564	
CIE RGB	F9 - CIE1931	VonKries	蓝色	0.16717231	0.01313521	0.81969248	12.72703625	1.0	62.40421029	0.13699926	0.01076443	0.6717456	
CIE RGB	F9 - CIE1964	VonKries	红色	0.74063518	0.25936482	0.0	2.85557308	1.0	0.0	0.51083045	0.17888894	0.0	
CIE RGB	F9 - CIE1964	VonKries	绿色	0.31352351	0.68066294	0.00581355	0.46061493	1.0	0.00854101	0.37326349	0.81035907	0.00692128	
CIE RGB	F9 - CIE1964	VonKries	蓝色	0.16733526	0.01312585	0.81953888	12.7485241	1.0	62.43699698	0.13707214	0.010752	0.67132263	
CIE RGB	F10 - CIE1931	Bradford	红色	0.7375527	0.26443864	-0.00199135	2.789126	1.0	-0.00753046	0.48645426	0.174411	-0.0013134	
CIE RGB	F10 - CIE1931	Bradford	绿色	0.26611857	0.71879139	0.01509003	0.37023061	1.0	0.02099362	0.30563108	0.82551543	0.01733056	
CIE RGB	F10 - CIE1931	Bradford	蓝色	0.17475144	7.596E-5	0.8251726	2300.48682393	1.0	10862.85027544	0.16965164	7.375E-5	0.80109146	
CIE RGB	F10 - CIE1964	Bradford	红色	0.7356632	0.26618465	-0.00184785	2.76373266	1.0	-0.00694199	0.49727776	0.17992976	-0.00124907	
CIE RGB	F10 - CIE1964	Bradford	绿色	0.27753812	0.70879809	0.01366379	0.39156161	1.0	0.01927741	0.3202775	0.81794919	0.01576794	
CIE RGB	F10 - CIE1964	Bradford	蓝色	0.17395752	0.0021397	0.82390278	81.29981198	1.0	385.05458556	0.17245906	0.00212127	0.81680572	
CIE RGB	F10 - CIE1931	XYZScaling	红色	0.72733128	0.27266872	0.0	2.66745401	1.0	0.0	0.47001607	0.176204	0.0	
