数据集,时间,确认,治愈,死亡,新增确诊,新增治愈,新增死亡,治愈/确认（千分比）,死亡/确认（千分比）,确认/人口（千分比）,死亡/人口（千分比）,治愈/人口（千分比）,确认/平方公里（千分比）,治愈/平方公里（千分比）,死亡/平方公里（千分比）,数据源,级别,洲,国家,省,市,区县,乡镇,村庄,建筑物,经度,纬度
COVID-19_Baidu,2020-06-17 23:59:00,991,985,6,0,0,0,993.95,6.05,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,省,亚洲,中国,安徽,,,,,,117.284922,31.861184
COVID-19_Baidu,2020-06-17 23:59:00,947,934,13,0,0,0,986.27,13.73,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,省,亚洲,中国,黑龙江,,,,,,126.661669,45.742347
COVID-19_Baidu,2020-06-17 23:59:00,932,931,1,0,0,0,998.93,1.07,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,省,亚洲,中国,江西,,,,,,115.909228,28.675696
COVID-19_Baidu,2020-06-17 23:59:00,931,894,37,0,0,0,960.26,39.74,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,亚洲,中国,湖北,宜昌,,,,,111.286471,30.691967
COVID-19_Baidu,2020-06-17 23:59:00,928,887,41,0,0,0,955.82,44.18,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,亚洲,中国,湖北,荆门,,,,,112.199265,31.035423
COVID-19_Baidu,2020-06-17 23:59:00,916,846,45,0,0,0,923.58,49.13,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,日本,,千叶,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,836,821,15,0,0,0,982.06,17.94,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,亚洲,中国,湖北,咸宁,,,,,114.322492,29.841443
COVID-19_Baidu,2020-06-17 23:59:00,827,742,28,0,0,0,897.22,33.86,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,日本,,福冈,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,792,783,7,0,0,0,988.64,8.84,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,省,亚洲,中国,山东,,,,,,117.020359,36.66853
COVID-19_Baidu,2020-06-17 23:59:00,731,584,9,0,0,0,798.91,12.31,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,省,亚洲,中国,北京,,,,,,116.407526,39.90403
COVID-19_Baidu,2020-06-17 23:59:00,699,653,43,0,0,0,934.19,61.52,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,日本,,兵库,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,695,668,7,0,0,0,961.15,10.07,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,省,亚洲,中国,上海,,,,,,121.473701,31.230416
COVID-19_Baidu,2020-06-17 23:59:00,672,664,8,0,0,0,988.1,11.9,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,亚洲,中国,湖北,十堰,,,,,110.79799,32.629397
COVID-19_Baidu,2020-06-17 23:59:00,653,653,0,0,0,0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,省,亚洲,中国,江苏,,,,,,118.763232,32.061707
COVID-19_Baidu,2020-06-17 23:59:00,593,468,0,0,0,0,789.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,韩国,,检疫,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,589,565,3,0,0,0,959.25,5.09,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,省,亚洲,中国,四川,,,,,,104.075931,30.651651
COVID-19_Baidu,2020-06-17 23:59:00,582,573,6,0,0,0,984.54,10.31,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,省,亚洲,中国,重庆,,,,,,106.551556,29.563009
COVID-19_Baidu,2020-06-17 23:59:00,575,553,22,0,0,0,961.74,38.26,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,县,亚洲,中国,湖北,省直辖县级行政区划,仙桃市,,,,113.453974,30.364953
COVID-19_Baidu,2020-06-17 23:59:00,565,512,48,0,0,0,906.19,84.96,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,国家,,海峡群岛,,,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,521,467,34,0,0,0,896.35,65.26,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,日本,,爱知,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,504,503,1,0,0,0,998.02,1.98,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,亚洲,中国,浙江,温州,,,,,120.699366,27.994267
COVID-19_Baidu,2020-06-17 23:59:00,496,481,15,0,0,0,969.76,30.24,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,县,亚洲,中国,湖北,省直辖县级行政区划,天门市,,,,113.165862,30.653061
COVID-19_Baidu,2020-06-17 23:59:00,445,434,7,0,0,0,975.28,15.73,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,省,亚洲,中国,台湾,,,,,,121.508903,25.044319
COVID-19_Baidu,2020-06-17 23:59:00,439,351,23,0,0,0,799.54,52.39,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,意大利,,莫利塞,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,436,193,0,0,0,0,442.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,日本,,包机回国及检疫等相关人员,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,423,420,3,0,0,0,992.91,7.09,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,亚洲,中国,广东,深圳,,,,,114.057868,22.543099
COVID-19_Baidu,2020-06-17 23:59:00,401,364,27,0,0,0,907.73,67.33,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,意大利,,巴斯利卡塔,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,386,386,0,0,0,0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,中国,黑龙江,境外输入,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,377,376,1,0,0,0,997.35,2.65,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,亚洲,中国,广东,广州,,,,,113.264434,23.129162
COVID-19_Baidu,2020-06-17 23:59:00,363,338,18,0,0,0,931.13,49.59,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,日本,,京都府,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,362,356,1,0,0,0,983.43,2.76,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,省,亚洲,中国,福建,,,,,,119.295144,26.100779
COVID-19_Baidu,2020-06-17 23:59:00,354,334,0,0,0,0,943.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,中国,上海,境外输入,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,336,322,6,0,0,0,958.33,17.86,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,省,亚洲,中国,河北,,,,,,114.468664,38.037057
COVID-19_Baidu,2020-06-17 23:59:00,322,152,1,0,0,0,472.05,3.11,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,韩国,,仁川,,,,,,
COVID-19_Baidu,2020-06-17 23:59:00,314,306,3,0,0,0,974.52,9.55,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,省,亚洲,中国,陕西,,,,,,108.954239,34.265472
