数据集,时间,确认,治愈,死亡,治愈/确认（千分比）,死亡/确认（千分比）,确认/人口（千分比）,死亡/人口（千分比）,治愈/人口（千分比）,确认/面积（千分比）,治愈/面积（千分比）,死亡/面积（千分比）,数据源,级别,洲,国家,省,市,区县,乡镇,村庄,建筑物,经度,纬度
COVID-19_Baidu,2020-05-27 23:59:00,41303,6622,3769,160.33,91.25,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,康涅狄格州,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,39342,5227,1236,132.86,31.42,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,弗吉尼亚州,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,38956,15923,214,408.74,5.49,4.02,0.02,1.64,187.65,76.7,1.03,输入的数据,国家,欧洲,白俄罗斯,,,,,,,27.953389,53.709807
COVID-19_Baidu,2020-05-27 23:59:00,38292,7925,544,206.96,14.21,0.25,0.0,0.05,265.92,55.03,3.78,输入的数据,国家,亚洲,孟加拉国,,,,,,,90.356331,23.684994
COVID-19_Baidu,2020-05-27 23:59:00,38068,28700,2701,753.91,70.95,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,路易斯安那州,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,37355,18003,3203,481.94,85.74,2.53,0.22,1.22,131.74,63.49,11.3,输入的数据,国家,南美洲,厄瓜多尔,,,,,,,-78.183406,-1.831239
COVID-19_Baidu,2020-05-27 23:59:00,34440,4971,4125,144.34,119.77,3.5,0.42,0.51,76.54,11.05,9.17,输入的数据,国家,欧洲,瑞典,,,,,,,18.643501,60.128161
COVID-19_Baidu,2020-05-27 23:59:00,33075,6014,2012,181.83,60.83,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,俄亥俄州,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,32876,16444,23,500.18,0.7,6.99,0.0,3.5,47440.12,23728.72,33.19,输入的数据,国家,亚洲,新加坡,,,,,,,103.811032,1.364418
COVID-19_Baidu,2020-05-27 23:59:00,32078,1954,2004,60.91,62.47,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,印第安纳州,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,31086,15982,253,514.12,8.14,6.25,0.05,3.21,375.07,192.83,3.05,输入的数据,国家,亚洲,阿联酋,,,,,,,53.847818,23.424076
COVID-19_Baidu,2020-05-27 23:59:00,31007,18096,1342,583.61,43.28,2.9,0.13,1.7,335.61,195.86,14.53,输入的数据,国家,欧洲,葡萄牙,,,,,,,-8.224454,39.399872
COVID-19_Baidu,2020-05-27 23:59:00,30776,28200,1917,916.3,62.29,3.63,0.23,3.32,745.36,682.97,46.43,输入的数据,国家,欧洲,瑞士,,,,,,,8.227512,46.818188
COVID-19_Baidu,2020-05-27 23:59:00,30314,19561,3812,645.28,125.75,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,意大利,,皮埃蒙特,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,27611,19389,4076,702.22,147.62,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,意大利,,艾米利亚-罗马涅,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,24735,21060,1615,851.43,65.29,5.35,0.35,4.56,351.95,299.66,22.98,输入的数据,国家,欧洲,爱尔兰,,,,,,,-8.24389,53.41291
COVID-19_Baidu,2020-05-27 23:59:00,24565,1722,1352,70.1,55.04,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,科罗拉多州,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,24454,14954,801,611.52,32.76,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,北卡罗来纳州,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,24264,12741,524,525.1,21.6,0.5,0.01,0.26,19.89,10.44,0.43,输入的数据,国家,非洲,南非,,,,,,,22.937506,-30.559482
COVID-19_Baidu,2020-05-27 23:59:00,23851,6057,1473,253.95,61.76,0.1,0.01,0.02,12.43,3.16,0.77,输入的数据,国家,亚洲,印度尼西亚,,,,,,,119.730443,-5.640499
COVID-19_Baidu,2020-05-27 23:59:00,23267,7946,175,341.51,7.52,8.34,0.06,2.85,1305.67,445.9,9.82,输入的数据,国家,亚洲,科威特,,,,,,,47.481766,29.31166
COVID-19_Baidu,2020-05-27 23:59:00,23003,5511,776,239.58,33.73,0.48,0.02,0.12,20.2,4.84,0.68,输入的数据,国家,南美洲,哥伦比亚,,,,,,,-74.297333,4.570868
COVID-19_Baidu,2020-05-27 23:59:00,22303,10330,1025,463.17,45.96,0.58,0.03,0.27,71.33,33.04,3.28,输入的数据,国家,欧洲,波兰,,,,,,,19.145136,51.919438
COVID-19_Baidu,2020-05-27 23:59:00,21960,15523,908,706.88,41.35,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,明尼苏达州,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,21905,7995,658,364.99,30.04,0.48,0.01,0.18,36.28,13.24,1.09,输入的数据,国家,欧洲,乌克兰,,,,,,,31.16558,48.379433
COVID-19_Baidu,2020-05-27 23:59:00,21209,5954,1086,280.73,51.2,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,华盛顿州,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,20965,13334,343,636.01,16.36,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,田纳西州,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,19105,14788,1886,774.04,98.72,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,意大利,,威尼托,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,18756,5027,797,268.02,42.49,0.23,0.01,0.06,18.73,5.02,0.8,输入的数据,国家,非洲,埃及,,,,,,,30.802498,26.820553
COVID-19_Baidu,2020-05-27 23:59:00,18594,12162,1219,654.08,65.56,2.53,0.17,1.66,210.43,137.64,13.8,输入的数据,国家,欧洲,罗马尼亚,,,,,,,24.96676,45.943161
COVID-19_Baidu,2020-05-27 23:59:00,18187,9855,481,541.87,26.45,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,爱荷华州,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,16783,70,807,4.17,48.08,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,亚利桑那州,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,16771,14486,281,863.75,16.76,2.28,0.04,1.97,807.46,697.45,13.53,输入的数据,国家,亚洲,以色列,,,,,,,34.851612,31.046051
COVID-19_Baidu,2020-05-27 23:59:00,16662,13810,862,828.83,51.73,0.13,0.01,0.11,44.1,36.55,2.28,输入的数据,国家,亚洲,日本,,,,,,,138.252924,36.204824
COVID-19_Baidu,2020-05-27 23:59:00,16557,15182,643,916.95,38.84,2.02,0.08,1.85,197.44,181.04,7.67,输入的数据,国家,欧洲,奥地利,,,,,,,14.550072,47.516231
COVID-19_Baidu,2020-05-27 23:59:00,15863,9405,517,592.89,32.59,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,威斯康星州,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,15650,7951,580,508.05,37.06,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,亚拉巴马州,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,15264,8534,468,559.09,30.66,1.55,0.05,0.87,313.24,175.13,9.6,输入的数据,国家,北美洲,多米尼加,,,,,,,-70.162651,18.735693
COVID-19_Baidu,2020-05-27 23:59:00,15049,3506,904,232.97,60.07,0.15,0.01,0.04,50.16,11.69,3.01,输入的数据,国家,亚洲,菲律宾,,,,,,,121.774017,12.879721
COVID-19_Baidu,2020-05-27 23:59:00,14210,1084,634,76.28,44.62,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,罗得岛州,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,13731,9401,652,684.66,47.48,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,密西西比州,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,13536,10696,1191,790.19,87.99,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,退伍军人事务,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,13228,4167,484,315.01,36.59,0.32,0.01,0.1,4.78,1.51,0.17,输入的数据,国家,南美洲,阿根廷,,,,,,,-63.616672,-38.416097
COVID-19_Baidu,2020-05-27 23:59:00,12619,349,153,27.66,12.12,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,内布拉斯加州,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,12616,3046,696,241.44,55.17,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,密苏里州,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,12456,1138,227,91.36,18.22,0.43,0.01,0.04,19.24,1.76,0.35,输入的数据,国家,亚洲,阿富汗,,,,,,,67.709953,33.93911
COVID-19_Baidu,2020-05-27 23:59:00,11447,6379,313,557.26,27.34,3.36,0.09,1.87,146.38,81.57,4.0,输入的数据,国家,北美洲,巴拿马,,,,,,,-80.782127,8.537981
COVID-19_Baidu,2020-05-27 23:59:00,11428,10044,563,878.89,49.26,2.08,0.1,1.83,265.19,233.07,13.06,输入的数据,国家,欧洲,丹麦,,,,,,,9.501785,56.26392
COVID-19_Baidu,2020-05-27 23:59:00,11265,10295,269,913.89,23.88,0.23,0.01,0.21,114.39,104.54,2.73,输入的数据,国家,亚洲,韩国,,,,,,,127.766922,35.907757
COVID-19_Baidu,2020-05-27 23:59:00,11227,6067,239,540.39,21.29,1.04,0.02,0.56,109.69,59.28,2.34,输入的数据,国家,欧洲,塞尔维亚,,,,,,,21.005859,44.016521
COVID-19_Baidu,2020-05-27 23:59:00,10416,6043,446,580.17,42.82,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,南卡罗来纳州,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,10070,7527,1021,747.47,101.39,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,意大利,,托斯卡纳,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,9550,6681,1431,699.58,149.84,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,意大利,,利古里亚,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,9366,4938,15,527.23,1.6,12.69,0.02,6.69,14084.21,7425.56,22.56,输入的数据,国家,亚洲,巴林,,,,,,,50.56,26.07
COVID-19_Baidu,2020-05-27 23:59:00,9304,4669,37,501.83,3.98,0.61,0.0,0.3,3.42,1.72,0.01,输入的数据,国家,亚洲,哈萨克斯坦,,,,,,,66.923684,48.019573
COVID-19_Baidu,2020-05-27 23:59:00,9264,3961,210,427.57,22.67,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,堪萨斯州,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,9173,5114,35,557.51,3.82,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,美国国防部报告,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,9066,4802,335,529.67,36.95,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,特拉华州,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,9052,6279,317,693.66,35.02,0.86,0.03,0.6,114.78,79.62,4.02,输入的数据,国家,欧洲,捷克,,,,,,,15.472962,49.817492
COVID-19_Baidu,2020-05-27 23:59:00,8951,3115,394,348.01,44.02,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,肯塔基州,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,8747,8129,124,929.35,14.18,0.0,0.0,0.0,0.0,0.0,0.0,统计数据,洲,大洋洲,,,,,,,,135.406058,-24.375757
COVID-19_Baidu,2020-05-27 23:59:00,8697,4918,617,565.48,70.94,0.25,0.02,0.14,3.65,2.06,0.26,输入的数据,国家,非洲,阿尔及利亚,,,,,,,1.659626,28.033886
COVID-19_Baidu,2020-05-27 23:59:00,8620,5346,101,620.19,11.72,0.0,0.0,0.0,0.0,0.0,0.0,输入的数据,市,,美国,,犹他州,,,,,,
COVID-19_Baidu,2020-05-27 23:59:00,8383,7727,235,921.75,28.03,1.67,0.05,1.54,25.86,23.83,0.72,输入的数据,国家,欧洲,挪威,,,,,,,8.468946,60.472024
COVID-19_Baidu,2020-05-27 23:59:00,8373,2177,38,260.0,4.54,2.82,0.01,0.73,39.41,10.25,0.18,输入的数据,国家,亚洲,阿曼,,,,,,,55.923255,21.512583
