Data Set,Time,Confirmed,Healed,Dead,Increased Confirmed,Increased Healed,Increased Dead,Healed/Confirmed(Permillage),Dead/Confirmed(Permillage),Data Source,Level,Continent,Country,Province,City,County,Town,Village,Building,Longitude,Latitude
COVID-19_Tencent,2020-05-25 23:59:00,254,252,2,0,0,0,992.13,7.87,Inputted Data,Province,Asia,People's Republic of China,Guangxi,,,,,,108.327546,22.815478
COVID-19_Tencent,2020-05-25 23:59:00,252,245,7,0,0,0,972.22,27.78,Inputted Data,Province,Asia,People's Republic of China,Hubei,,,,,,114.341861,30.546498
COVID-19_Tencent,2020-05-25 23:59:00,198,198,0,0,0,0,1000.0,0.0,Inputted Data,Province,Asia,People's Republic of China,Shanxi,,,,,,112.562398,37.873531
COVID-19_Tencent,2020-05-25 23:59:00,197,195,0,0,1,0,989.85,0.0,Inputted Data,Province,Asia,People's Republic of China,Guangdong,,,,,,113.26653,23.132191
COVID-19_Tencent,2020-05-25 23:59:00,185,183,2,0,0,0,989.19,10.81,Inputted Data,Province,Asia,People's Republic of China,Yunnan,,,,,,102.710002,25.045806
COVID-19_Tencent,2020-05-25 23:59:00,169,162,6,0,0,0,958.58,35.5,Inputted Data,Province,Asia,People's Republic of China,Hainan,,,,,,110.349228,20.017377
COVID-19_Tencent,2020-05-25 23:59:00,155,128,2,107,106,1,825.81,12.9,Inputted Data,Province,Asia,People's Republic of China,Jilin,,,,,,125.32599,43.896536
COVID-19_Tencent,2020-05-25 23:59:00,150,125,0,10,2,0,833.33,0.0,Inputted Data,Province,Asia,People's Republic of China,Inner Mongolia,,,,,,111.765617,40.817498
COVID-19_Tencent,2020-05-25 23:59:00,147,145,2,0,0,0,986.39,13.61,Inputted Data,Province,Asia,People's Republic of China,Guizhou,,,,,,106.70741,26.598194
COVID-19_Tencent,2020-05-25 23:59:00,139,137,2,0,0,0,985.61,14.39,Inputted Data,Province,Asia,People's Republic of China,Gansu,,,,,,103.826308,36.059421
COVID-19_Tencent,2020-05-25 23:59:00,76,73,3,0,0,0,960.53,39.47,Inputted Data,Province,Asia,People's Republic of China,Xinjiang,,,,,,87.627704,43.793026
COVID-19_Tencent,2020-05-25 23:59:00,75,75,0,0,0,0,1000.0,0.0,Inputted Data,Province,Asia,People's Republic of China,Ningxia,,,,,,106.258754,38.471317
COVID-19_Tencent,2020-05-25 23:59:00,60,60,0,0,0,0,1000.0,0.0,Inputted Data,Province,Asia,People's Republic of China,Fujian,,,,,,119.295144,26.100779
COVID-19_Tencent,2020-05-25 23:59:00,56,55,0,0,1,0,982.14,0.0,Inputted Data,Province,Asia,People's Republic of China,Tianjin,,,,,,117.200983,39.084158
COVID-19_Tencent,2020-05-25 23:59:00,45,45,0,0,0,0,1000.0,0.0,Inputted Data,Province,Asia,People's Republic of China,Macau,,,,,,113.543028,22.186835
COVID-19_Tencent,2020-05-25 23:59:00,31,29,0,0,1,0,935.48,0.0,Inputted Data,Province,Asia,People's Republic of China,Liaoning,,,,,,123.42944,41.835441
COVID-19_Tencent,2020-05-25 23:59:00,24,21,0,1,0,0,875.0,0.0,Inputted Data,Province,Asia,People's Republic of China,Sichuan,,,,,,104.075931,30.651651
COVID-19_Tencent,2020-05-25 23:59:00,18,18,0,0,0,0,1000.0,0.0,Inputted Data,Province,Asia,People's Republic of China,Qinghai,,,,,,101.780199,36.620901
COVID-19_Tencent,2020-05-25 23:59:00,1,1,0,0,0,0,1000.0,0.0,Inputted Data,Province,Asia,People's Republic of China,Xizang,,,,,,91.117212,29.646922
COVID-19_Tencent,2020-05-24 23:59:00,13387,13157,111,422,415,9,982.82,8.29,Statistic Data,Country,Asia,People's Republic of China,,,,,,,104.195397,35.86166
COVID-19_Tencent,2020-05-24 23:59:00,13387,13157,111,422,415,9,982.82,8.29,Statistic Data,Continent,Asia,,,,,,,,111.23125,33.47486
COVID-19_Tencent,2020-05-24 23:59:00,13387,13157,111,422,415,9,982.82,8.29,Statistic Data,Global,,,,,,,,,148.770017,27.499299
COVID-19_Tencent,2020-05-24 23:59:00,1276,1254,22,0,0,0,982.76,17.24,Inputted Data,Province,Asia,People's Republic of China,Henan,,,,,,113.753602,34.765515
COVID-19_Tencent,2020-05-24 23:59:00,1268,1267,1,0,0,0,999.21,0.79,Inputted Data,Province,Asia,People's Republic of China,Zhejiang,,,,,,120.152791,30.267446
COVID-19_Tencent,2020-05-24 23:59:00,1065,1030,4,0,1,0,967.14,3.76,Inputted Data,Province,Asia,People's Republic of China,Hong Kong,,,,,,114.163825,22.276284
COVID-19_Tencent,2020-05-24 23:59:00,1019,1015,4,0,0,0,996.07,3.93,Inputted Data,Province,Asia,People's Republic of China,Hunan,,,,,,112.98381,28.112444
