Level,Longitude,Latitude,Chinese Name,English Name,Code 1,Code 2,Code 3,Code 4,Code 5,Alias 1,Alias 2,Alias 3,Alias 4,Alias 5,Square Kilometers,Population,Continent,Country,Province,City,County,Town,Village,Building,Comments
City,118.859457,28.970079,衢州,,330800,0570,330800000000,,,衢州市,,,,,,,Asia,People's Republic of China,Zhejiang,衢州,,,,,
City,122.207215,29.985295,舟山,,330900,0580,330900000000,,,舟山市,,,,,,,Asia,People's Republic of China,Zhejiang,舟山,,,,,
City,121.420757,28.656386,台州,,331000,0576,331000000000,,,台州市,,,,,,,Asia,People's Republic of China,Zhejiang,台州,,,,,
City,119.922796,28.46763,丽水,,331100,0578,331100000000,,,丽水市,,,,,,,Asia,People's Republic of China,Zhejiang,丽水,,,,,
City,117.227239,31.820586,合肥,,340100,0551,340100000000,,,合肥市,,,,,,,Asia,People's Republic of China,Anhui,合肥,,,,,
City,118.432941,31.352859,芜湖,,340200,0553,340200000000,,,芜湖市,,,,,,,Asia,People's Republic of China,Anhui,芜湖,,,,,
City,117.389719,32.916287,蚌埠,,340300,0552,340300000000,,,蚌埠市,,,,,,,Asia,People's Republic of China,Anhui,蚌埠,,,,,
City,116.999932,32.625478,淮南,,340400,0554,340400000000,,,淮南市,,,,,,,Asia,People's Republic of China,Anhui,淮南,,,,,
City,118.506759,31.670452,马鞍山,,340500,0555,340500000000,,,马鞍山市,,,,,,,Asia,People's Republic of China,Anhui,马鞍山,,,,,
City,116.798265,33.955844,淮北,,340600,0561,340600000000,,,淮北市,,,,,,,Asia,People's Republic of China,Anhui,淮北,,,,,
City,117.812079,30.945429,铜陵,,340700,0562,340700000000,,,铜陵市,,,,,,,Asia,People's Republic of China,Anhui,铜陵,,,,,
City,117.063754,30.543494,安庆,,340800,0556,340800000000,,,安庆市,,,,,,,Asia,People's Republic of China,Anhui,安庆,,,,,
City,118.337481,29.714655,黄山,,341000,0559,341000000000,,,黄山市,,,,,,,Asia,People's Republic of China,Anhui,黄山,,,,,
City,118.317106,32.301556,滁州,,341100,0550,341100000000,,,滁州市,,,,,,,Asia,People's Republic of China,Anhui,滁州,,,,,
City,115.814204,32.890124,阜阳,,341200,1558,341200000000,,,阜阳市,,,,,,,Asia,People's Republic of China,Anhui,阜阳,,,,,
City,116.964356,33.646373,宿州,,341300,0557,341300000000,,,宿州市,,,,,,,Asia,People's Republic of China,Anhui,宿州,,,,,
City,116.521854,31.733699,六安,,341500,0564,341500000000,,,六安市,,,,,,,Asia,People's Republic of China,Anhui,六安,,,,,
City,115.778676,33.844582,亳州,,341600,0558,341600000000,,,亳州市,,,,,,,Asia,People's Republic of China,Anhui,亳州,,,,,
City,117.491568,30.6648,池州,,341700,0566,341700000000,,,池州市,,,,,,,Asia,People's Republic of China,Anhui,池州,,,,,
City,118.758816,30.940718,宣城,,341800,0563,341800000000,,,宣城市,,,,,,,Asia,People's Republic of China,Anhui,宣城,,,,,
City,119.296494,26.074507,福州,,350100,0591,350100000000,,,福州市,,,,,,,Asia,People's Republic of China,Fujian,福州,,,,,
City,118.089425,24.479833,厦门,,350200,0592,350200000000,,,厦门市,,,,,,,Asia,People's Republic of China,Fujian,厦门,,,,,
City,119.007777,25.454084,莆田,,350300,0594,350300000000,,,莆田市,,,,,,,Asia,People's Republic of China,Fujian,莆田,,,,,
City,117.638678,26.263406,三明,,350400,0598,350400000000,,,三明市,,,,,,,Asia,People's Republic of China,Fujian,三明,,,,,
City,118.675675,24.874132,泉州,,350500,0595,350500000000,,,泉州市,,,,,,,Asia,People's Republic of China,Fujian,泉州,,,,,
City,117.647481,24.512948,漳州,,350600,0596,350600000000,,,漳州市,,,,,,,Asia,People's Republic of China,Fujian,漳州,,,,,
City,118.177708,26.641768,南平,,350700,0599,350700000000,,,南平市,,,,,,,Asia,People's Republic of China,Fujian,南平,,,,,
City,117.017536,25.075123,龙岩,,350800,0597,350800000000,,,龙岩市,,,,,,,Asia,People's Republic of China,Fujian,龙岩,,,,,
City,119.547932,26.665617,宁德,,350900,0593,350900000000,,,宁德市,,,,,,,Asia,People's Republic of China,Fujian,宁德,,,,,
City,115.858197,28.682892,南昌,,360100,0791,360100000000,,,南昌市,,,,,,,Asia,People's Republic of China,Jiangxi,南昌,,,,,
City,117.178419,29.268835,景德镇,,360200,0798,360200000000,,,景德镇市,,,,,,,Asia,People's Republic of China,Jiangxi,景德镇,,,,,
City,113.854556,27.622768,萍乡,,360300,0799,360300000000,,,萍乡市,,,,,,,Asia,People's Republic of China,Jiangxi,萍乡,,,,,
City,116.00193,29.705077,九江,,360400,0792,360400000000,,,九江市,,,,,,,Asia,People's Republic of China,Jiangxi,九江,,,,,
City,114.917346,27.817808,新余,,360500,0790,360500000000,,,新余市,,,,,,,Asia,People's Republic of China,Jiangxi,新余,,,,,
City,117.069202,28.260189,鹰潭,,360600,0701,360600000000,,,鹰潭市,,,,,,,Asia,People's Republic of China,Jiangxi,鹰潭,,,,,
City,114.935029,25.831829,赣州,,360700,0797,360700000000,,,赣州市,,,,,,,Asia,People's Republic of China,Jiangxi,赣州,,,,,
City,114.992509,27.113443,吉安,,360800,0796,360800000000,,,吉安市,,,,,,,Asia,People's Republic of China,Jiangxi,吉安,,,,,
City,114.416778,27.815619,宜春,,360900,0795,360900000000,,,宜春市,,,,,,,Asia,People's Republic of China,Jiangxi,宜春,,,,,
City,116.358181,27.949217,抚州,,361000,0794,361000000000,,,抚州市,,,,,,,Asia,People's Republic of China,Jiangxi,抚州,,,,,
City,117.943433,28.454862,上饶,,361100,0793,361100000000,,,上饶市,,,,,,,Asia,People's Republic of China,Jiangxi,上饶,,,,,
City,117.119999,36.651216,济南,,370100,0531,370100000000,,,济南市,,,,,,,Asia,People's Republic of China,Shandong,济南,,,,,
City,120.382639,36.067082,青岛,,370200,0532,370200000000,,,青岛市,,,,,,,Asia,People's Republic of China,Shandong,青岛,,,,,
City,118.054927,36.813487,淄博,,370300,0533,370300000000,,,淄博市,,,,,,,Asia,People's Republic of China,Shandong,淄博,,,,,
City,117.323725,34.810487,枣庄,,370400,0632,370400000000,,,枣庄市,,,,,,,Asia,People's Republic of China,Shandong,枣庄,,,,,
City,118.674767,37.434751,东营,,370500,0546,370500000000,,,东营市,,,,,,,Asia,People's Republic of China,Shandong,东营,,,,,
City,121.447935,37.463822,烟台,,370600,0535,370600000000,,,烟台市,,,,,,,Asia,People's Republic of China,Shandong,烟台,,,,,
City,119.161755,36.706774,潍坊,,370700,0536,370700000000,,,潍坊市,,,,,,,Asia,People's Republic of China,Shandong,潍坊,,,,,
City,116.587098,35.414921,济宁,,370800,0537,370800000000,,,济宁市,,,,,,,Asia,People's Republic of China,Shandong,济宁,,,,,
City,117.087614,36.200252,泰安,,370900,0538,370900000000,,,泰安市,,,,,,,Asia,People's Republic of China,Shandong,泰安,,,,,
City,122.120419,37.513068,威海,,371000,0631,371000000000,,,威海市,,,,,,,Asia,People's Republic of China,Shandong,威海,,,,,
City,119.526888,35.416377,日照,,371100,0633,371100000000,,,日照市,,,,,,,Asia,People's Republic of China,Shandong,日照,,,,,
City,118.356448,35.104672,临沂,,371300,0539,371300000000,,,临沂市,,,,,,,Asia,People's Republic of China,Shandong,临沂,,,,,
City,116.357464,37.434092,德州,,371400,0534,371400000000,,,德州市,,,,,,,Asia,People's Republic of China,Shandong,德州,,,,,
City,115.985371,36.456703,聊城,,371500,0635,371500000000,,,聊城市,,,,,,,Asia,People's Republic of China,Shandong,聊城,,,,,
City,117.970703,37.38199,滨州,,371600,0543,371600000000,,,滨州市,,,,,,,Asia,People's Republic of China,Shandong,滨州,,,,,
City,115.480656,35.23375,菏泽,,371700,0530,371700000000,,,菏泽市,,,,,,,Asia,People's Republic of China,Shandong,菏泽,,,,,
City,113.625368,34.746599,郑州,,410100,0371,410100000000,,,郑州市,,,,,,,Asia,People's Republic of China,Henan,郑州,,,,,
City,114.307581,34.797239,开封,,410200,0378,410200000000,,,开封市,,,,,,,Asia,People's Republic of China,Henan,开封,,,,,
City,112.45404,34.619682,洛阳,,410300,0379,410300000000,,,洛阳市,,,,,,,Asia,People's Republic of China,Henan,洛阳,,,,,
City,113.192661,33.766169,平顶山,,410400,0375,410400000000,,,平顶山市,,,,,,,Asia,People's Republic of China,Henan,平顶山,,,,,
City,114.392392,36.097577,安阳,,410500,0372,410500000000,,,安阳市,,,,,,,Asia,People's Republic of China,Henan,安阳,,,,,
City,114.297272,35.747225,鹤壁,,410600,0392,410600000000,,,鹤壁市,,,,,,,Asia,People's Republic of China,Henan,鹤壁,,,,,
City,113.9268,35.303004,新乡,,410700,0373,410700000000,,,新乡市,,,,,,,Asia,People's Republic of China,Henan,新乡,,,,,
City,113.241823,35.215892,焦作,,410800,0391,410800000000,,,焦作市,,,,,,,Asia,People's Republic of China,Henan,焦作,,,,,
City,115.029215,35.761829,濮阳,,410900,0393,410900000000,,,濮阳市,,,,,,,Asia,People's Republic of China,Henan,濮阳,,,,,
City,113.85264,34.035506,许昌,,411000,0374,411000000000,,,许昌市,,,,,,,Asia,People's Republic of China,Henan,许昌,,,,,
City,114.016539,33.581412,漯河,,411100,0395,411100000000,,,漯河市,,,,,,,Asia,People's Republic of China,Henan,漯河,,,,,
City,111.200135,34.772493,三门峡,,411200,0398,411200000000,,,三门峡市,,,,,,,Asia,People's Republic of China,Henan,三门峡,,,,,
City,112.528321,32.990833,南阳,,411300,0377,411300000000,,,南阳市,,,,,,,Asia,People's Republic of China,Henan,南阳,,,,,
City,115.65637,34.414172,商丘,,411400,0370,411400000000,,,商丘市,,,,,,,Asia,People's Republic of China,Henan,商丘,,,,,
City,114.091023,32.146983,信阳,,411500,0376,411500000000,,,信阳市,,,,,,,Asia,People's Republic of China,Henan,信阳,,,,,
City,114.696951,33.626149,周口,,411600,0394,411600000000,,,周口市,,,,,,,Asia,People's Republic of China,Henan,周口,,,,,
City,114.022298,33.011529,驻马店,,411700,0396,411700000000,,,驻马店市,,,,,,,Asia,People's Republic of China,Henan,驻马店,,,,,
City,113.753602,34.765515,省直辖县级行政区划,,410000,,469000000000,,,,,,,,,,Asia,People's Republic of China,Henan,省直辖县级行政区划,,,,,
City,114.305392,30.593098,武汉,,420100,027,420100000000,,,武汉市,,,,,,,Asia,People's Republic of China,Hubei,武汉,,,,,
City,115.03852,30.199652,黄石,,420200,0714,420200000000,,,黄石市,,,,,,,Asia,People's Republic of China,Hubei,黄石,,,,,
City,110.79799,32.629397,十堰,,420300,0719,420300000000,,,十堰市,,,,,,,Asia,People's Republic of China,Hubei,十堰,,,,,
City,111.286471,30.691967,宜昌,,420500,0717,420500000000,,,宜昌市,,,,,,,Asia,People's Republic of China,Hubei,宜昌,,,,,
City,112.122414,32.008986,襄阳,,420600,0710,420600000000,,,襄阳市,,,,,,,Asia,People's Republic of China,Hubei,襄阳,,,,,
City,114.894843,30.39194,鄂州,,420700,0711,420700000000,,,鄂州市,,,,,,,Asia,People's Republic of China,Hubei,鄂州,,,,,
City,112.199265,31.035423,荆门,,420800,0724,420800000000,,,荆门市,,,,,,,Asia,People's Republic of China,Hubei,荆门,,,,,
City,113.916902,30.924568,孝感,,420900,0712,420900000000,,,孝感市,,,,,,,Asia,People's Republic of China,Hubei,孝感,,,,,
City,112.239741,30.335165,荆州,,421000,0716,421000000000,,,荆州市,,,,,,,Asia,People's Republic of China,Hubei,荆州,,,,,
City,114.872316,30.453905,黄冈,,421100,0713,421100000000,,,黄冈市,,,,,,,Asia,People's Republic of China,Hubei,黄冈,,,,,
City,114.322492,29.841443,咸宁,,421200,0715,421200000000,,,咸宁市,,,,,,,Asia,People's Republic of China,Hubei,咸宁,,,,,
City,113.382458,31.690215,随州,,421300,0722,421300000000,,,随州市,,,,,,,Asia,People's Republic of China,Hubei,随州,,,,,
City,109.488172,30.272156,恩施州,,422800,0718,422800000000,,,恩施土家族苗族自治州,恩施,,,,,,Asia,People's Republic of China,Hubei,恩施州,,,,,
City,114.341861,30.546498,省直辖县级行政区划,,420000,,429000000000,,,,,,,,,,Asia,People's Republic of China,Hubei,省直辖县级行政区划,,,,,
City,112.938814,28.228209,长沙,,430100,0731,430100000000,,,长沙市,,,,,,,Asia,People's Republic of China,Hunan,长沙,,,,,
City,113.134002,27.82755,株洲,,430200,0733,430200000000,,,株洲市,,,,,,,Asia,People's Republic of China,Hunan,株洲,,,,,
City,112.944049,27.829738,湘潭,,430300,0732,430300000000,,,湘潭市,,,,,,,Asia,People's Republic of China,Hunan,湘潭,,,,,
City,112.571997,26.89323,衡阳,,430400,0734,430400000000,,,衡阳市,,,,,,,Asia,People's Republic of China,Hunan,衡阳,,,,,
City,111.467791,27.238892,邵阳,,430500,0739,430500000000,,,邵阳市,,,,,,,Asia,People's Republic of China,Hunan,邵阳,,,,,
City,113.128958,29.357104,岳阳,,430600,0730,430600000000,,,岳阳市,,,,,,,Asia,People's Republic of China,Hunan,岳阳,,,,,
City,111.698497,29.031673,常德,,430700,0736,430700000000,,,常德市,,,,,,,Asia,People's Republic of China,Hunan,常德,,,,,
City,110.479191,29.117096,张家界,,430800,0744,430800000000,,,张家界市,,,,,,,Asia,People's Republic of China,Hunan,张家界,,,,,
City,112.35518,28.55386,益阳,,430900,0737,430900000000,,,益阳市,,,,,,,Asia,People's Republic of China,Hunan,益阳,,,,,
City,113.014717,25.770509,郴州,,431000,0735,431000000000,,,郴州市,,,,,,,Asia,People's Republic of China,Hunan,郴州,,,,,
City,111.613445,26.420394,永州,,431100,0746,431100000000,,,永州市,,,,,,,Asia,People's Republic of China,Hunan,永州,,,,,
City,109.998488,27.554978,怀化,,431200,0745,431200000000,,,怀化市,,,,,,,Asia,People's Republic of China,Hunan,怀化,,,,,
City,111.993497,27.700062,娄底,,431300,0738,431300000000,,,娄底市,,,,,,,Asia,People's Republic of China,Hunan,娄底,,,,,
City,109.739172,28.311947,湘西,,433100,0743,433100000000,,,湘西土家族苗族自治州,湘西州,,,,,,Asia,People's Republic of China,Hunan,湘西,,,,,
City,113.264434,23.129162,广州,,440100,020,440100000000,,,广州市,,,,,,,Asia,People's Republic of China,Guangdong,广州,,,,,
City,113.597522,24.810403,韶关,,440200,0751,440200000000,,,韶关市,,,,,,,Asia,People's Republic of China,Guangdong,韶关,,,,,
